pts,elo_i,opp_pts,elo_n
57.00,1448.0177,62,1439.1101
61.00,1282.6403,48,1297.225
48.00,1232.5814,61,1217.9967
72.00,1269.1937,84,1262.9604
84.00,1316.821,72,1323.0543
66.00,1359.0022,57,1368.0355
57.00,1439.1101,66,1430.0768
58.00,1192.7406,53,1204.3622
53.00,1255.3428,58,1243.7212
50.00,1287.9642,62,1273.708
62.00,1329.1947,50,1343.4509
74.00,1323.0543,78,1317.6265
78.00,1262.9604,74,1268.3883
64.00,1297.225,78,1292.7268
78.00,1430.0768,64,1434.575
57.00,1368.0355,59,1360.8228
59.00,1343.4509,57,1350.6637
64.00,1292.7268,53,1304.2137
53.00,1204.3622,64,1192.8752
63.00,1434.575,49,1442.5338
49.00,1217.9967,63,1210.0378
61.00,1273.708,76,1263.4937
76.00,1243.7212,61,1253.9355
80.00,1263.4937,83,1257.3132
83.00,1335.4089,80,1341.5894
76.00,1253.9355,63,1275.9305
63.00,1350.6637,76,1328.6687
63.00,1317.6265,67,1311.1245
67.00,1210.0378,63,1216.5398
77.00,1442.5338,69,1445.0814
69.00,1268.3883,77,1265.8407
74.00,1311.1245,55,1320.103
55.00,1275.9305,74,1266.952
91.00,1265.8407,68,1280.0374
68.00,1304.2137,91,1290.0171
84.00,1360.8228,81,1364.2407
81.00,1341.5894,84,1338.1714
62.00,1328.6687,66,1321.4895
66.00,1192.8752,62,1200.0544
58.00,1257.3132,56,1261.5048
56.00,1320.103,58,1315.9115
73.00,1200.0544,72,1207.0247
72.00,1280.0374,73,1273.0671
66.00,1266.952,81,1263.2552
81.00,1445.0814,66,1448.7782
75.00,1338.1714,72,1341.5424
72.00,1315.9115,75,1312.5405
59.00,1216.5398,72,1212.5773
72.00,1364.2407,59,1368.2032
53.00,1321.4895,50,1326.8982
50.00,1212.5773,53,1207.1686
74.00,1290.0171,78,1280.7762
78.00,1273.0671,74,1282.308
74.00,1263.2552,104,1237.1625
104.00,1312.5405,74,1338.6333
59.00,1341.5424,68,1332.5114
68.00,1261.5048,59,1270.5358
63.00,1326.8982,65,1322.4481
65.00,1448.7782,63,1453.2283
65.00,1207.1686,53,1217.7629
53.00,1282.308,65,1271.7136
38.00,1453.2283,47,1437.8223
47.00,1207.0247,38,1222.4307
78.00,1338.6333,84,1327.6796
84.00,1332.5114,78,1343.4651
63.00,1280.7762,59,1291.8809
59.00,1368.2032,63,1357.0986
64.00,1237.1625,74,1224.124
74.00,1270.5358,64,1283.5742
45.00,1322.4481,58,1300.2828
58.00,1222.4307,45,1244.5959
72.00,1343.4651,87,1337.7271
87.00,1437.8223,72,1443.5603
72.00,1300.2828,79,1294.4644
79.00,1291.8809,72,1297.6993
69.00,1357.0986,53,1363.3656
53.00,1271.7136,69,1265.4467
